level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	32	1	1	0	4131	3029	136	23	-1	
5	1	32	1	1	1	4131	3029	68	23	27.409210	REV.
5	1	32	1	1	2	4214	3029	53	23	27.409210	LTR
2	1	33	0	0	0	197	2987	966	93	-1	
3	1	33	1	0	0	197	2987	967	93	-1	
4	1	33	1	1	0	197	2987	966	93	-1	
5	1	33	1	1	1	197	2987	521	93	0.000000	a
5	1	33	1	1	2	1063	3005	100	34	94.202484	INCH
2	1	34	0	0	0	183	3084	28	42	-1	
3	1	34	1	0	0	183	3084	28	42	-1	
4	1	34	1	1	0	183	3084	28	42	-1	
5	1	34	1	1	1	183	3084	28	42	96.297707	0
2	1	35	0	0	0	366	3092	69	40	-1	
3	1	35	1	0	0	366	3092	69	40	-1	
4	1	35	1	1	0	366	3092	69	40	-1	
5	1	35	1	1	1	366	3092	69	40	96.794975	1.5
2	1	36	0	0	0	585	3092	26	40	-1	
3	1	36	1	0	0	585	3092	26	40	-1	
4	1	36	1	1	0	585	3092	26	40	-1	
5	1	36	1	1	1	585	3092	26	40	96.951775	3
2	1	37	0	0	0	766	3092	72	40	-1	
3	1	37	1	0	0	766	3092	72	40	-1	
4	1	37	1	1	0	766	3092	72	40	-1	
5	1	37	1	1	1	766	3092	72	40	95.140610	4.5
2	1	38	0	0	0	980	3082	26	40	-1	
3	1	38	1	0	0	980	3082	26	40	-1	
4	1	38	1	1	0	980	3082	26	40	-1	
5	1	38	1	1	1	980	3082	26	40	96.626305	6
2	1	39	0	0	0	3603	3078	292	39	-1	
3	1	39	1	0	0	3603	3078	292	39	-1	
4	1	39	1	1	0	3603	3078	292	39	-1	
5	1	39	1	1	1	3603	3078	292	39	87.986183	A511351610
2	1	40	0	0	0	4166	3116	75	4	-1	
3	1	40	1	0	0	4166	3116	75	4	-1	
4	1	40	1	1	0	4166	3116	75	4	-1	
5	1	40	1	1	1	4166	3116	75	4	39.393448	—
2	1	41	0	0	0	4300	3086	167	30	-1	
3	1	41	1	0	0	4300	3086	167	30	-1	
4	1	41	1	1	0	4300	3086	167	30	-1	
5	1	41	1	1	1	4300	3093	103	23	90.212692	SHEET_
5	1	41	1	1	2	4448	3086	19	27	93.446762	4
2	1	42	0	0	0	739	3207	41	27	-1	
3	1	42	1	0	0	739	3207	41	27	-1	
4	1	42	1	1	0	739	3207	41	27	-1	
5	1	42	1	1	1	739	3207	41	27	96.827339	24
2	1	43	0	0	0	1422	3207	40	27	-1	
3	1	43	1	0	0	1422	3207	40	27	-1	
4	1	43	1	1	0	1422	3207	40	27	-1	
5	1	43	1	1	1	1422	3207	40	27	96.856461	23
2	1	44	0	0	0	2103	3207	39	27	-1	
3	1	44	1	0	0	2103	3207	39	27	-1	
4	1	44	1	1	0	2103	3207	39	27	-1	
5	1	44	1	1	1	2103	3207	39	27	96.961479	22
2	1	45	0	0	0	2795	3207	36	27	-1	
3	1	45	1	0	0	2795	3207	36	27	-1	
4	1	45	1	1	0	2795	3207	36	27	-1	
5	1	45	1	1	1	2795	3207	36	27	96.366249	21
2	1	46	0	0	0	3477	3207	40	27	-1	
3	1	46	1	0	0	3477	3207	40	27	-1	
4	1	46	1	1	0	3477	3207	40	27	-1	
5	1	46	1	1	1	3477	3207	40	27	96.959732	20
2	1	47	0	0	0	4234	3147	78	77	-1	
3	1	47	1	0	0	4234	3147	78	77	-1	
4	1	47	1	1	0	4234	3147	78	77	-1	
5	1	47	1	1	1	4234	3147	78	77	72.220535	\\
2	1	48	0	0	0	3845	3239	438	34	-1	
3	1	48	1	0	0	3845	3239	438	34	-1	
4	1	48	1	1	0	3845	3239	438	34	-1	
5	1	48	1	1	1	3845	3239	252	34	92.226448	EYEng/TS/8660
5	1	48	1	1	2	4131	3239	103	26	90.105179	ISSUE
5	1	48	1	1	3	4248	3239	35	26	96.611740	13
2	1	49	0	0	0	4348	3239	154	26	-1	
3	1	49	1	0	0	4348	3239	154	26	-1	
4	1	49	1	1	0	4348	3239	154	26	-1	
5	1	49	1	1	1	4348	3239	70	26	96.825691	DEC
5	1	49	1	1	2	4431	3239	71	26	96.830231	2021
